id,categorie,programme,ancienne_url,type_url,nouvelle_url_proposee,statut_contenu,a_verifier
125,International,"Séjour 7 Jours / 6 Nuits à l'Andalousie, Espagne à partir de 6900 DHs!",https://www.ajinsafro.ma/voyages-international/sejour-7-jours-6-nuits-a-landalousie-espagne-a-partir-de-6900-dhs-125,Programme principal,https://ajinsafro.net/voyages-organises/sejour-7-jours-6-nuits-a-landalousie-espagne-a-partir-de-6900-dhs-125,ok,non
127,International,Circuit Inde 08 jours : 03 Au 10 Avril,https://ajinsafro.ma/voyages-organisees/circuit-inde-08-jours-03-au-10-avril-127,Ancienne route SEO,https://ajinsafro.net/voyages-organises/circuit-inde-08-jours-03-au-10-avril-127,ok,oui
133,International,Explorez 3 Pays en 13 Jours : Dubai - Kuala Lumpur - Istanbul à partir de 27000 DHs!,https://www.ajinsafro.ma/onedeal.php?id=133,Ancienne URL technique,https://ajinsafro.net/voyages-organises/explorez-3-pays-en-13-jours-dubai-kuala-lumpur-istanbul-a-partir-de-27000-dhs-133,ok,non
137,Voyage national,Circuit 3 jours à Merzouga - Les gorges Todgha - Kelâat M'Gouna - Ouarzazate à seulement 1750 DHs!,https://www.ajinsafro.ma/voyage-national/circuit-3-jours-a-merzouga-les-gorges-todgha-kelaat-mgouna-ouarzazate-plusieurs-departs-disponibles-137,Programme principal,https://ajinsafro.net/voyages-maroc/circuit-3-jours-a-merzouga-les-gorges-todgha-kelaat-mgouna-ouarzazate-plusieurs-137,ok,oui
138,Voyage national,Circuit 4 Jrs à Merzouga - Gorges du Toudra - Kelâat M'Gouna - Ouarzazate - Marrakech à seulement 1980 DHs!,https://www.ajinsafro.ma/voyage-national/4-jours-merzouga-gorges-du-toudra-kelaat-mgouna-ouarzazate-marrakech-a-seulement-1700-mad--138,Variante programme,https://ajinsafro.net/voyages-maroc/4-jours-merzouga-gorges-du-toudra-kelaat-mgouna-ouarzazate-marrakech-a-seulement-138,ok,oui
138,Voyage national,Circuit 4 Jrs à Merzouga - Gorges du Toudra - Kelâat M'Gouna - Ouarzazate - Marrakech à seulement 1980 DHs!,https://www.ajinsafro.ma/voyage-national/circuit-4-jrs-a-merzouga-gorges-du-toudra-kelaat-mgouna-ouarzazate-marrakech-a-seulement-1890-mad-138,Variante programme,https://ajinsafro.net/voyages-maroc/4-jours-merzouga-gorges-du-toudra-kelaat-mgouna-ouarzazate-marrakech-a-seulement-138,ok,oui
138,Voyage national,Circuit 4 Jrs à Merzouga - Gorges du Toudra - Kelâat M'Gouna - Ouarzazate - Marrakech à seulement 1980 DHs!,https://www.ajinsafro.ma/voyage-national/circuit-4-jrs-a-merzouga-gorges-du-toudra-kelaat-mgouna-ouarzazate-marrakech-a-seulement-1980-dhs-138,Programme principal,https://ajinsafro.net/voyages-maroc/4-jours-merzouga-gorges-du-toudra-kelaat-mgouna-ouarzazate-marrakech-a-seulement-138,ok,oui
139,International,"Escapade Libre en 5 jours à Lisbonne : Football, Balades & Découvertes à partir de 6500 DHs!",https://www.ajinsafro.ma/voyages-organisees/circuit-portugal-8-jours7-nuits-du-0705-au-1405-139,Ancienne route SEO,https://ajinsafro.net/voyages-organises/circuit-portugal-8-jours7-nuits-du-0705-au-1405-139,ok,oui
140,National,Circuit Bin El Ouidane – Cascades d'Ouzoud – Aîn Asserdoun 29/30 Avril,https://www.ajinsafro.ma/voyage-national/circuit-bin-el-ouidane-cascades-douzoud-ain-asserdoun-2930-avril-140,Programme principal,https://ajinsafro.net/voyages-maroc/circuit-bin-el-ouidane-cascades-douzoud-ain-asserdoun-2930-avril-140,ok,oui
141,National,Circuit 3 Jours à Legzira - Mirleft - Aglou - Tiznit - Agadir à seulement 1640 DHs!,https://www.ajinsafro.ma/voyage-national/circuit-3-jours-legzira-mirleft-aglou-tiznit-agadir-du-09-au-12-aout-2018-141,Programme principal,https://ajinsafro.net/voyages-maroc/circuit-3-jours-legzira-mirleft-aglou-tiznit-agadir-du-09-au-12-aout-2018-141,ok,oui
143,Voyage national,Offre spéciale été : Martil - Tetouan - M'diq - Oued Laou - Al Hoceima - Nador - Saïdia‎ - Oujda à seulement 3200 Dhs!,https://www.ajinsafro.ma/voyage-national/offre-speciale-ete-martil-tetouan-mdiq-oued-laou-al-hoceima-nador-saidia-oujda-du-2907-au-0308-143,Programme principal,https://ajinsafro.net/voyages-maroc/offre-speciale-ete-martil-tetouan-mdiq-oued-laou-al-hoceima-nador-saidia-oujda-d-143,ok,non
143,Voyage national,Offre spéciale été : Martil - Tetouan - M'diq - Oued Laou - Al Hoceima - Nador - Saïdia‎ - Oujda à seulement 3200 Dhs!,https://www.ajinsafro.ma/voyage-national/offre-speciale-ete-martil-tetouan-mdiq-oued-laou-al-hoceima-nador-saidia-oujda-plusieurs-departs-disponible-143,Variante programme,https://ajinsafro.net/voyages-maroc/offre-speciale-ete-martil-tetouan-mdiq-oued-laou-al-hoceima-nador-saidia-oujda-d-143,ok,non
144,National,Caravane Du Nord 07 Jours / 06 Nuits| Plusieurs Départs Disponible,https://www.ajinsafro.ma/voyage-national/caravane-du-nord-7-jours-6-nuits-du-12-au-18-aout-2018-144,Programme principal,https://ajinsafro.net/voyages-maroc/caravane-du-nord-7-jours-6-nuits-du-12-au-18-aout-2018-144,ok,oui
145,National,Circuit 5 Jours à Ouarzazate - Taliouine - Mirleft - Legzira - Agadir - Essaouira à partir de 2950 DHs!,https://www.ajinsafro.ma/voyage-national/circuit-5-jours-a-ouarzazate-taliouine-mirleft-legzira-agadir-essaouira-a-partir-de-2650-dhs-145,Programme principal,https://ajinsafro.net/voyages-maroc/circuit-5-jours-a-ouarzazate-taliouine-mirleft-legzira-agadir-essaouira-a-partir-145,ok,oui
146,International,Séjour Balnéaire à ANTALYA Du 01 Au 08 Août en All Inclusive!,https://www.ajinsafro.ma/onedeal.php?id=146,Ancienne URL technique,https://ajinsafro.net/voyages-organises/sejour-balneaire-a-antalya-du-01-au-08-aout-en-all-inclusive-146,ok,oui
147,International,Circuit Thaïlande 14 Jours/12 Nuits : Du 18/08 Au 31/08,https://www.ajinsafro.ma/onedeal.php?id=147,Ancienne URL technique,https://ajinsafro.net/voyages-organises/circuit-thailande-14-jours-12-nuits-du-18-08-au-31-08-147,ok,oui
148,International,Séjour 12 jours / 11 nuits à l'égypte : Caire - Croisiere ( Aswan / Luxor ) - Hurghada à partir de 16600 DHs!,https://ajinsafro.ma/voyages-international/sejour-12-jours-11-nuits-a-legypte-caire-croisiere-aswan-luxor-hurghada-a-partir-de-16600-dhs-148,Programme principal,https://ajinsafro.net/voyages-organises/sejour-12-jours-11-nuits-a-legypte-caire-croisiere-aswan-luxor-hurghada-a-partir-148,ok,oui
150,International,Circuit Turquie & Egypte 13 Jours - 12 Nuits : Du 07/08 Au 19/08,https://www.ajinsafro.ma/onedeal.php?id=150,Ancienne URL technique,https://ajinsafro.net/voyages-organises/circuit-turquie-egypte-13-jours-12-nuits-du-0708-au-1908-150,ok,non
150,International,Circuit Turquie & Egypte 13 Jours - 12 Nuits : Du 07/08 Au 19/08,https://www.ajinsafro.ma/voyages-organisees/circuit-turquie-egypte-13-jours-12-nuits-du-0708-au-1908-150,Ancienne route SEO,https://ajinsafro.net/voyages-organises/circuit-turquie-egypte-13-jours-12-nuits-du-0708-au-1908-150,ok,non
153,Hébergement,"Offre famille Cabo Negro : Appartement à ""Mirador Golf"" pour 6 personnes",https://www.ajinsafro.ma/onedeal.php?id=153,Ancienne URL technique,https://ajinsafro.net/hebergement/offre-famille-cabo-negro-appartement-a-mirador-golf-pour-6-personnes-153,partiel,oui
156,National,Week End à Oued El Marsa - île Laila - Tanger - Asilah | Plusieurs départs Disponibles,https://ajinsafro.ma/team/buy.php?id=156,Ancienne commande,https://ajinsafro.net/voyages-maroc/week-end-a-oued-el-marsa-ile-laila-tanger-asilah-156,ok,non
156,National,Week End à Oued El Marsa - île Laila - Tanger - Asilah | Plusieurs départs Disponibles,https://www.ajinsafro.ma/onedeal.php?id=156,Ancienne URL technique,https://ajinsafro.net/voyages-maroc/week-end-a-oued-el-marsa-ile-laila-tanger-asilah-156,ok,non
158,National,Excursion d'une journée à Cascades d'Ouzoud & Bin El Ouidane départ chaque Samedi soir !,https://www.ajinsafro.ma/voyage-national/excursion-dune-journee-a-cascades-douzoud-bin-el-ouidane-depart-chaque-samedi-soir--158,Programme principal,https://ajinsafro.net/voyages-maroc/excursion-dune-journee-a-cascades-douzoud-bin-el-ouidane-depart-chaque-samedi-so-158,ok,oui
159,National,Week-end Nouvel an à Agadir du 31/01 Décembre,https://www.ajinsafro.ma/voyage-national/weekend-detente-a-agadir-du-0102-avril-159,Programme principal,https://ajinsafro.net/voyages-maroc/weekend-detente-a-agadir-du-0102-avril-159,ok,oui
160,National,Circuit Sources Oum Rabia - Aguelmam Azegza 14 Octobre 2018,https://www.ajinsafro.ma/voyage-national/circuit-sources-oum-rabia-aguelmam-azegza-14-octobre-2018-160,Programme principal,https://ajinsafro.net/voyages-maroc/circuit-sources-oum-rabia-aguelmam-azegza-14-octobre-2018-160,ok,oui
162,National,Circuit 3 jours : Ouzoud - Bin El ouidane - Ain Asserdoun - Marrakech - Terres d'Amanar | Plusieurs Départs Disponibles,https://www.ajinsafro.ma/voyage-national/circuit-3-jours-ouzoud-bin-el-ouidane-ain-asserdoun-marrakech-terres-damanar-plusieurs-departs-disponibles-162,Programme principal,https://ajinsafro.net/voyages-maroc/circuit-3-jours-ouzoud-bin-el-ouidane-ain-asserdoun-marrakech-terres-damanar-plu-162,ok,non
166,Voyage national,Week-end à Oukaïmeden - Marrakech - Ourika | Départ Chaque Vendredi Soir !,https://ajinsafro.ma/voyage-national/weekend-a-oukaimeden-marrakech-le-10-11-mars-2018-166,Programme principal,https://ajinsafro.net/voyages-maroc/weekend-a-oukaimeden-marrakech-le-10-11-mars-2018-166,ok,oui
169,National,Week-end à Michlifen - Ifrane - Meknès | Départ Chaque Vendredi Soir !,https://www.ajinsafro.ma/voyage-national/weekend-a-michlifen-ifrane-meknes-le-24-25-fevrier-2018-169,Programme principal,https://ajinsafro.net/voyages-maroc/weekend-a-michlifen-ifrane-meknes-le-24-25-fevrier-2018-169,ok,oui
170,Voyage international,Week-end shopping : Torremolinos - Malaga - Marbella à seulement de 3350 DHs!,https://www.ajinsafro.ma/voyages-international/week-end-shopping-torremolinos-malaga-marbella-a-seulement-de-3350-dhs-170,Programme principal,https://ajinsafro.net/voyages-organises/week-end-shopping-torremolinos-malaga-marbella-a-seulement-de-3350-dhs-170,ok,non
172,Voyage international,Circuit 8 jours / 7 Nuits à Portugal et Séville à partir de 10900 DHs!,https://www.ajinsafro.ma/onedeal.php?id=172,Ancienne URL technique,https://ajinsafro.net/voyages-organises/circuit-8-jours-7-nuits-a-portugal-et-seville-a-partir-de-10900-dhs-172,ok,oui
172,Voyage international,Circuit 8 jours / 7 Nuits à Portugal et Séville à partir de 10900 DHs!,https://www.ajinsafro.ma/voyages-international/circuit-8-jours-7-nuits-a-portugal-et-seville-a-partir-de-10900-dhs-172,Programme principal,https://ajinsafro.net/voyages-organises/circuit-8-jours-7-nuits-a-portugal-et-seville-a-partir-de-10900-dhs-172,ok,oui
177,Voyage national,Circuit 4 jours à Imlil - Toubkal - Terre D'amanare - Marrakech | Départ Chaque Semaine !,https://www.ajinsafro.ma/voyage-national/circuit-3-jours-a-imlil-toubkal-takerkoust-marrakech-121314-mai-177,Programme principal,https://ajinsafro.net/voyages-maroc/circuit-3-jours-a-imlil-toubkal-takerkoust-marrakech-121314-mai-177,ok,oui
180,International,Circuit d'Europe Paris - Bruxelles - Amsterdam 7 Jours/ 6 Nuits : Du 24 Au 30 Avril à seulement 8950 DH !,https://www.ajinsafro.ma/voyages-international/circuit-deurope-paris-bruxelles-amsterdam-7-jours-6-nuits-du-24-au-30-avril-a-seulement-8950-dh--180,Programme principal,https://ajinsafro.net/voyages-organises/circuit-deurope-paris-bruxelles-amsterdam-7-jours-6-nuits-du-24-au-30-avril-a-se-180,ok,non
181,National,Week-end Merzouga,https://ajinsafro.ma/voyage-national/weekend-en-plein-desert-a-merzouga-0607-mai-181,Programme principal,https://ajinsafro.net/voyages-maroc/weekend-en-plein-desert-a-merzouga-0607-mai-181,ok,oui
187,National,Voyage pour les mamans à Ifrane - Dait Aoua - Fès - Moulay Yakoub 24 - 25 Mars 2018,https://ajinsafro.ma/voyage-national/voyage-pour-les-mamans-a-ifrane-dait-aoua-fes-moulay-yakoub-24-25-mars-2018-187?lang=,Programme principal,https://ajinsafro.net/voyages-maroc/voyage-pour-les-mamans-a-ifrane-dait-aoua-fes-moulay-yakoub-24-25-mars-2018-187?-187,ok,oui
188,National,Ouzoud – Bin El Ouidane – Ain Asserdoun,https://ajinsafro.ma/voyage-national/circuit-ouzoud-bin-el-ouidane-ain-asserdoun-1718-fevrier-a-partir-de-3180-dh-188,Programme principal,https://ajinsafro.net/voyages-maroc/circuit-ouzoud-bin-el-ouidane-ain-asserdoun-1718-fevrier-a-partir-de-3180-dh-188,ok,oui
192,Voyage national,Circuit à Stehat - Oued Laou - Chefchaouen - Fnideq - M'diq | Plusieurs Départs Disponibles,https://ajinsafro.ma/voyage-national/circuit-a-stehat-oued-laou-chefchaouen-fnideq-mdiq-du-18-au-21-aout-2017-192,Programme principal,https://ajinsafro.net/voyages-maroc/circuit-a-stehat-oued-laou-chefchaouen-fnideq-mdiq-du-18-au-21-aout-2017-192,ok,non
198,National,Circuit 4 jours à Asilah - Tanger - Belyounech - Tetouan - Chefchaouen - Oued Laou à seulement 1870 MAD !,https://www.ajinsafro.ma/voyage-national/circuit-4-jours-asilah-tanger-belyounech-tetouan-chefchaouen-oued-laou-du-13-au-16-aout-2018-198,Programme principal,https://ajinsafro.net/voyages-maroc/circuit-4-jours-asilah-tanger-belyounech-tetouan-chefchaouen-oued-laou-du-13-au-198,ok,oui
201,Voyage international,"Terre des Pharaons, l'Égypte : 10 Jours / 9 nuits au Caire & Sharm El Sheikh à partir de 17590 DHs!",https://www.ajinsafro.ma/voyages-international/terre-des-pharaons-legypte-10-jours-9-nuits-au-caire-and-sharm-el-sheikh-a-partir-de-17590-dhs-201,Programme principal,https://ajinsafro.net/voyages-organises/terre-des-pharaons-legypte-10-jours-9-nuits-au-caire-and-sharm-el-sheikh-a-parti-201,ok,oui
